year,oecd_provider_code,provider,agency_name,oecd_agency_code,oecd_recipient_code,recipient,flow_code,flow_name,sector_code,sector_name,purpose_code,purpose_name,project_title,crs_id,project_id,description,type_of_finance,level,modality,flow_type,source,currency,prices,Adaptation,Cross-cutting,Mitigation,Not climate relevant
2021,1016,Green Climate Fund,Green Climate Fund,1,260,Niger,11,ODA Grants,151,I.5.a. Government & Civil Society-general,15110,Public sector policy and administrative management,Identify adaptation and mitigation interventions and creating partnerships for scaling up the Great Green Wall Initiative in Niger,2021000086,NER-RS-003,Identify adaptation and mitigation interventions and creating partnerships for scaling up the Great Green Wall Initiative in Niger,110,0,C01,usd_disbursement,OECD_CRS_ALLOCABLE,USD,current,,,,190696.0
2022,1,Austria,Austrian Development Agency,8,289,"South of Sahara, regional",11,ODA Grants,410,IV.1. General Environment Protection,41010,Environmental policy and administrative management,Strengthening Coordination and Implementation of the Great Green Wall Initiative (UNCCD/GGWI),2020500018,2518-00/2020,"The long-term objective of the project is to improve integrated transboundary land restoration, ecosystem protection, and natural resource management under the Great Green Wall Initiative (GGWI). The Project aims to enhance the GGWI stakeholders'  capacities to better prepare, monitor and manage projects according to high standards, produce, manage, report high quality data, and encourage new investors and donors to contribute to a new generation of GGWI projects.",110,1,B03,usd_disbursement,OECD_CRS_ALLOCABLE,USD,current,557367.0,557367.0,557367.0,
2022,5,Germany,Federal Ministry for Economic Affairs and Energy,62,9998,"Bilateral, unspecified",11,ODA Grants,312,III.1.b. Forestry,31210,Forestry policy and administrative management,The Paris Agreement in action: upscaling forest and landscape restoration to achieve nationally determined contributions,2022009369,18_III_094_Global_M_Large Scale FLR Init,"As recognised in the Paris Agreement, forest-based options are critical to achieving NDCs through combined mitigation and adaptation approaches. The effective implementation of the Bonn Challenge in several regional initiatives represents an opportunity to expand FLR efforts and contribute to several NDCs. In three regions with high potential for forest stand increase and provision of ecosystem services through large-scale FLR programmes, countries are part of the project concept: The Pacific Islands (Philippines + Fiji), the Great Green Wall Region (Ethiopia + Niger) and the Mediterranean (Lebanon and Morocco). To implement the NDC commitments, the project supports: (i) regional platforms focusing on knowledge sharing, capacity development, mobilisation of innovative funding and FLR monitoring, and (ii) the implementation of existing national FLR action plans / programmes and monitoring.---o---Project Number  = 18_III_094_Global_M_Large Scale FLR Initiatives",110,1,C01,usd_disbursement,OECD_CRS_ALLOCABLE,USD,current,536274.0,536274.0,536274.0,
2022,10,Sweden,Swedish International Development Authority,6,287,Burkina Faso,11,ODA Grants,311,III.1.a. Agriculture,31120,Agricultural development,Beog-Puuto  Farms of the future  Burkina Faso 2018-2023 - Beog-Puuto family farming Burkina Faso,2018067710A,SE-0-SE-6-11406A0101-BFA-31120,"The project  Beog-Puuto  (Farms of the future) aims at restoring eroded abandoned farmland, increasing productivity in family farms and strengthen resilience of 50,000 vulnerable households in dry areas in northern and eastern Burkina Faso. The impact is expected to be increased productivity in family farms through a positive system change, stronger resilience of vulnerable households to climate change, higher income, improved situation for women and strengthened incentives to young men to refuse violent extremism.  The non-governmental organization SOS Sahel International France manages 198 million SEK Swedish funds for the period 15 December 2018 - 31 December 2023 to carry out the project in cooperation with SOS Sahel International Burkina Faso, the small NGO Terre Verte and the programme the Great Green Wall  (La Grande Muraille Verte) of the Ministry of the Environment in Burkina Faso. Cooperation is also on-going with the Ministry of Agriculture, 30 rural municipalities and a number of local organizations.   The project aims to (i) recover eroded farmland and increase productivity for groups of about 30-60 family farmers who have decided to merge their small farm plots into larger a unit of 100-150 hectares, and to (ii) sustainably improve the soil status and increase productivity in family farms through agroecological methods, a broad application of traditional water & soil conservation techniques combined with an initial ploughing and techniques for managing rainwater, composting etc.   The soil & water conservation technique Zaï is implemented systematically.  Collective production units are created through small water dams for rice production and vegetable and fruit gardens. Value chains are supported, particularly for female farmers and entrepreneurs. Women has a key role in agriculture in Burkina Faso and gender equality is prioritised in the project.   The validity of the agreement between Sida and SOSSIF will expire on 30 September 2024.",110,2,C01,usd_disbursement,OECD_CRS_ALLOCABLE,USD,current,1547984.0,,,
2022,10,Sweden,Swedish International Development Authority,6,9998,"Bilateral, unspecified",11,ODA Grants,250,II.5. Business & Other Services,25030,Business development services,DCED Membership 1 July 2021 - 30 June 2024,2021060682A,SE-0-SE-6-15142A0101-GGG-25030,"The three-year contribution consists of a membership fee to the Donor Committee for Enterprise Development (DCED) for financial years 2021/22 - 2023/24 in the form of one payment to the IFC trust fund TF 070481. The membership fee amounts to 45 000 USD per year.   The purpose of the intervention is to enable Sida  s membership in the DCED in order for Sida to contribute to and benefit from the DCED activities, in terms of exchange of experiences, knowledge and methods development, support for policy development and operationalisation as well as donor coordination within private sector development (PSD), and related areas (market systems approach, employment, trade, WEE, green economy). The support enables activities within the thematic working groups.  DCED is a donor committeee - a donor coordination group and knowledge hub - representing some 20 bilateral and multilateral development actors working to promote PSD within development cooperation. The aim is to increase knowledge about the broad thematic area PSD and contribute to harmonisation between actors, and thereby contribute to increase defficiency within development cooperation. DCED was established in 1979 and formalised in 2006. Sida has been engaged in the DCED several decades and an official member since 2004. Other member donors include for example ADA, Danida, DFID, FAO, ILO, ITC, MasterCard Foundation, Norad, SDC, USAID, the World Bank.  The members meet and collaborate in currently six active thematic working groups: * Business Environment Working Group (BEWG), * Green Growth Working Group (GGWG), * Market Systems Development Working Group (MSDWG), * Private Sector Engagement Working Group (PSEWG), * Results Measurement Working Group (RMWG) and * Women's Economic Empowerment (WEEWG).",110,0,C01,usd_disbursement,OECD_CRS_ALLOCABLE,USD,current,,,,111499.0
2022,18,Finland,Ministry of Foreign Affairs,3,240,Gambia,11,ODA Grants,151,I.5.a. Government & Civil Society-general,15150,Democratic participation and civil society,"Tesito forest conservation in Gambia, Senegal and Guinea-Bissau",2019000070,24001020,"Dodo's goal is to to enhance sustainable use of forests in Gambia, Senegal and Guinea-Bissau by applying the forest mapping and monitoring method originally developed by The Finnish Association for Nature Conservation. Since the pilot in Gambia was successful, project team scales up the model in Sahel region and contribute to the Great Green Wall of Africa initiative by creating interactive forest monitoring map of pilot areas in neighboring countries, which are extremely rich in biodiversity, but also have inadequate forest management systems. While monitoring in Gambia continues, environmental officials and civil society in Guinea-Bissau and Senegal are trained to use the tool and responsible departments trained to independently create and update the map. Involving civil society enables local actors to better participate in decision-making related to land-use and cross-border cooperation enhances networking.Planned activities are carried out with the Gambian partner organization Freedom From Hunger Campaign. In Gambia, the aim is to continue protecting the buffer zone of Kiang West National Park, Gambia's second largest conservation area, and help Jiffarong community to adapt to climate change. Human pressure on forest is reduced through enhanced fire prevention and developing profitable livelihoods to substitute the sale of firewood. In cooperation with the Forestry Department, fire prevention training is organized in communities and schools located in the buffer zone, and district workshop organized to enhance cooperation of the trained communities. Previously created livelihoods are further developed, farmers are trained to grow their businesses and new revolving fund loan takers are chosen and trained to start new businesses, to improve food security. Food security is also improved by adopting new FMNR (farmer managed natural regeneration) technique from Senegal, and training local officials and Jiffarong farmers to use it. Applying the FMNR technique is expected to enhance crop production and improve quality of forest. Restoration activities in the community forest of Jiffarong are also intensified through enhanced operations of the tree nursery.Dodo ry and the local cooperation partner are implementing a project in Gambia in 2021-2022. The project has progressed well and its learnings will be used in the continuation project.",110,1,C01,usd_disbursement,OECD_CRS_ALLOCABLE,USD,current,21033.0,21033.0,21033.0,
2022,18,Finland,Ministry of Foreign Affairs,3,240,Gambia,11,ODA Grants,312,III.1.b. Forestry,31282,Forestry research,"Tesito forest conservation in Gambia, Senegal and Guinea-Bissau",2019000070,24001020,"Dodo's goal is to to enhance sustainable use of forests in Gambia, Senegal and Guinea-Bissau by applying the forest mapping and monitoring method originally developed by The Finnish Association for Nature Conservation. Since the pilot in Gambia was successful, project team scales up the model in Sahel region and contribute to the Great Green Wall of Africa initiative by creating interactive forest monitoring map of pilot areas in neighboring countries, which are extremely rich in biodiversity, but also have inadequate forest management systems. While monitoring in Gambia continues, environmental officials and civil society in Guinea-Bissau and Senegal are trained to use the tool and responsible departments trained to independently create and update the map. Involving civil society enables local actors to better participate in decision-making related to land-use and cross-border cooperation enhances networking.Planned activities are carried out with the Gambian partner organization Freedom From Hunger Campaign. In Gambia, the aim is to continue protecting the buffer zone of Kiang West National Park, Gambia's second largest conservation area, and help Jiffarong community to adapt to climate change. Human pressure on forest is reduced through enhanced fire prevention and developing profitable livelihoods to substitute the sale of firewood. In cooperation with the Forestry Department, fire prevention training is organized in communities and schools located in the buffer zone, and district workshop organized to enhance cooperation of the trained communities. Previously created livelihoods are further developed, farmers are trained to grow their businesses and new revolving fund loan takers are chosen and trained to start new businesses, to improve food security. Food security is also improved by adopting new FMNR (farmer managed natural regeneration) technique from Senegal, and training local officials and Jiffarong farmers to use it. Applying the FMNR technique is expected to enhance crop production and improve quality of forest. Restoration activities in the community forest of Jiffarong are also intensified through enhanced operations of the tree nursery.Dodo ry and the local cooperation partner are implementing a project in Gambia in 2021-2022. The project has progressed well and its learnings will be used in the continuation project.",110,1,C01,usd_disbursement,OECD_CRS_ALLOCABLE,USD,current,21033.0,21033.0,21033.0,
2022,18,Finland,Ministry of Foreign Affairs,3,240,Gambia,11,ODA Grants,410,IV.1. General Environment Protection,41020,Biosphere protection,"Tesito forest conservation in Gambia, Senegal and Guinea-Bissau",2019000070,24001020,"Dodo's goal is to to enhance sustainable use of forests in Gambia, Senegal and Guinea-Bissau by applying the forest mapping and monitoring method originally developed by The Finnish Association for Nature Conservation. Since the pilot in Gambia was successful, project team scales up the model in Sahel region and contribute to the Great Green Wall of Africa initiative by creating interactive forest monitoring map of pilot areas in neighboring countries, which are extremely rich in biodiversity, but also have inadequate forest management systems. While monitoring in Gambia continues, environmental officials and civil society in Guinea-Bissau and Senegal are trained to use the tool and responsible departments trained to independently create and update the map. Involving civil society enables local actors to better participate in decision-making related to land-use and cross-border cooperation enhances networking.Planned activities are carried out with the Gambian partner organization Freedom From Hunger Campaign. In Gambia, the aim is to continue protecting the buffer zone of Kiang West National Park, Gambia's second largest conservation area, and help Jiffarong community to adapt to climate change. Human pressure on forest is reduced through enhanced fire prevention and developing profitable livelihoods to substitute the sale of firewood. In cooperation with the Forestry Department, fire prevention training is organized in communities and schools located in the buffer zone, and district workshop organized to enhance cooperation of the trained communities. Previously created livelihoods are further developed, farmers are trained to grow their businesses and new revolving fund loan takers are chosen and trained to start new businesses, to improve food security. Food security is also improved by adopting new FMNR (farmer managed natural regeneration) technique from Senegal, and training local officials and Jiffarong farmers to use it. Applying the FMNR technique is expected to enhance crop production and improve quality of forest. Restoration activities in the community forest of Jiffarong are also intensified through enhanced operations of the tree nursery.Dodo ry and the local cooperation partner are implementing a project in Gambia in 2021-2022. The project has progressed well and its learnings will be used in the continuation project.",110,1,C01,usd_disbursement,OECD_CRS_ALLOCABLE,USD,current,42065.0,42065.0,42065.0,
2022,76,Poland,Ministry of Foreign Affairs,1,269,Senegal,11,ODA Grants,111,"I.1.a. Education, Level Unspecified",11120,Education facilities and training,Improvement of teaching standards in animals diagnostics and treatment in Senegal,2021010042,DWR/PPR 2021/042/2/2022,"Podstawowym celem projektu by?o zwi?kszenie potencja?u instytucji kszta?c?cych m?odzie? w zakresie rolnictwa i hodowli w Senegalu, co wp?yn??o na istotne podniesienie jako?ci kszta?cenia lekarzy weterynarii i specjalistów pokrewnych dziedzin zwi?zanych z ochron? zdrowia zwierz?t gospodarskich oraz profilaktyki zdrowia publicznego. Wzrost efektów kszta?cenia przyczyni? si? do poprawy pozycji m?odzie?y na rynku pracy i wp?ynie na rozwój rolnictwa w Senegalu.  W ramach projektu przewidziano realizacj? dzia?a? zwi?zanych z unowocze?nieniem bazy szkoleniowej polegaj?c? na remontach i adaptacji pomieszcze? oraz doposa?eniu w nowoczesny sprz?t i przeszkoleniu kadry. Implementowano nowoczesne metody nauczania studentów bazuj?ce na wiedzy i do?wiadczeniu pracowników naukowo dydaktycznych SGGW w Warszawie.",110,0,C01,usd_disbursement,OECD_CRS_ALLOCABLE,USD,current,,,,47612.0
2022,76,Poland,Ministry of Foreign Affairs,1,269,Senegal,11,ODA Grants,111,"I.1.a. Education, Level Unspecified",11130,Teacher training,Improvement of teaching standards in animals diagnostics and treatment in Senegal,2021010042,DWR/PPR 2021/042/2/2022,"Podstawowym celem projektu by?o zwi?kszenie potencja?u instytucji kszta?c?cych m?odzie? w zakresie rolnictwa i hodowli w Senegalu, co wp?yn??o na istotne podniesienie jako?ci kszta?cenia lekarzy weterynarii i specjalistów pokrewnych dziedzin zwi?zanych z ochron? zdrowia zwierz?t gospodarskich oraz profilaktyki zdrowia publicznego. Wzrost efektów kszta?cenia przyczyni? si? do poprawy pozycji m?odzie?y na rynku pracy i wp?ynie na rozwój rolnictwa w Senegalu.  W ramach projektu przewidziano realizacj? dzia?a? zwi?zanych z unowocze?nieniem bazy szkoleniowej polegaj?c? na remontach i adaptacji pomieszcze? oraz doposa?eniu w nowoczesny sprz?t i przeszkoleniu kadry. Implementowano nowoczesne metody nauczania studentów bazuj?ce na wiedzy i do?wiadczeniu pracowników naukowo dydaktycznych SGGW w Warszawie.",110,0,C01,usd_disbursement,OECD_CRS_ALLOCABLE,USD,current,,,,41661.0
2022,76,Poland,Ministry of Foreign Affairs,1,269,Senegal,11,ODA Grants,114,I.1.d. Post-Secondary Education,11420,Higher education,Improvement of teaching standards in animals diagnostics and treatment in Senegal,2021010042,DWR/PPR 2021/042/2/2022,"Podstawowym celem projektu by?o zwi?kszenie potencja?u instytucji kszta?c?cych m?odzie? w zakresie rolnictwa i hodowli w Senegalu, co wp?yn??o na istotne podniesienie jako?ci kszta?cenia lekarzy weterynarii i specjalistów pokrewnych dziedzin zwi?zanych z ochron? zdrowia zwierz?t gospodarskich oraz profilaktyki zdrowia publicznego. Wzrost efektów kszta?cenia przyczyni? si? do poprawy pozycji m?odzie?y na rynku pracy i wp?ynie na rozwój rolnictwa w Senegalu.  W ramach projektu przewidziano realizacj? dzia?a? zwi?zanych z unowocze?nieniem bazy szkoleniowej polegaj?c? na remontach i adaptacji pomieszcze? oraz doposa?eniu w nowoczesny sprz?t i przeszkoleniu kadry. Implementowano nowoczesne metody nauczania studentów bazuj?ce na wiedzy i do?wiadczeniu pracowników naukowo dydaktycznych SGGW w Warszawie.",110,0,C01,usd_disbursement,OECD_CRS_ALLOCABLE,USD,current,,,,29758.0
2022,932,Food and Agriculture Organisation,Core resources - developmental,1,274,Djibouti,11,ODA Grants,312,III.1.b. Forestry,31220,Forestry development,Restauration et action climatique: Appui à l?élaboration de la composante Djibouti du projet régional GCF SURAGGWA (Renforcer la résilience dans la grande muraille verte africaine),2022000929,TCP_703222,Restauration et action climatique: Appui à l?élaboration de la composante Djibouti du projet régional GCF SURAGGWA (Renforcer la résilience dans la grande muraille verte africaine),110,1,D02,usd_disbursement,OECD_CRS_ALLOCABLE,USD,current,,62221.0,62221.0,
2022,932,Food and Agriculture Organisation,Core resources - developmental,1,274,Djibouti,11,ODA Grants,312,III.1.b. Forestry,31220,Forestry development,Restauration et action climatique: Appui à l?élaboration de la composante Djibouti du projet régional GCF SURAGGWA (Renforcer la résilience dans la grande muraille verte africaine),2022000929,TCP_703222,Restauration et action climatique: Appui à l?élaboration de la composante Djibouti du projet régional GCF SURAGGWA (Renforcer la résilience dans la grande muraille verte africaine),110,2,D02,usd_disbursement,OECD_CRS_ALLOCABLE,USD,current,62221.0,,,
2022,932,Food and Agriculture Organisation,Core resources - developmental,1,298,"Africa, regional",11,ODA Grants,311,III.1.a. Agriculture,31130,Agricultural land resources,"Support to Burkina Faso, Mali and Senegal for Finalization of the Regional GCF Project SURAGGWA",2022000618,TCP_738622,"Support to Burkina Faso, Mali and Senegal for Finalization of the Regional GCF Project SURAGGWA",110,2,D02,usd_disbursement,OECD_CRS_ALLOCABLE,USD,current,57559.0,57559.0,57559.0,
2022,932,Food and Agriculture Organisation,Core resources - developmental,1,298,"Africa, regional",11,ODA Grants,311,III.1.a. Agriculture,31130,Agricultural land resources,"Support to Chad, Djibouti, Niger and Nigeria for Finalization of the Regional GCF Project SURAGGWA",2022000700,TCP_738722,"Support to Chad, Djibouti, Niger and Nigeria for Finalization of the Regional GCF Project SURAGGWA",110,2,D02,usd_disbursement,OECD_CRS_ALLOCABLE,USD,current,43415.0,43415.0,43415.0,
2022,932,Food and Agriculture Organisation,Core resources - developmental,1,298,"Africa, regional",11,ODA Grants,312,III.1.b. Forestry,31220,Forestry development,Support to GCF Regional Resource Mobilization- Scaling up Resilience in Africa`s Great Green Wall,2022000530,TCP_686961,Support to GCF Regional Resource Mobilization- Scaling up Resilience in Africa`s Great Green Wall,110,2,D02,usd_disbursement,OECD_CRS_ALLOCABLE,USD,current,160408.0,160408.0,160408.0,
2022,932,Food and Agriculture Organisation,Core resources - developmental,1,1029,"Southern Africa, regional",11,ODA Grants,312,III.1.b. Forestry,31220,Forestry development,"Technical Assistance to SADC to institutionalize, monitor implementation and out-scale the Great Green Wall (GGW) in Southern Africa Region",2022000898,TCP_695302,"Technical Assistance to SADC to institutionalize, monitor implementation and out-scale the Great Green Wall (GGW) in Southern Africa Region",110,1,D02,usd_disbursement,OECD_CRS_ALLOCABLE,USD,current,166313.0,166313.0,166313.0,
